"Basename","year","month","day","hour","class","method","count","project"
"scan106_2023-07-24_08H00M23S",2023,7,24,8,"background","manual",0,"DESCENT"
"scan106_2023-07-24_08H00M23S",2023,7,24,8,"unknown","auto",2,"DESCENT"
"scan106_2023-07-24_08H00M23S",2023,7,24,8,"unknown","manual",0,"DESCENT"
"scan106_2023-07-25_08H00M23S",2023,7,25,8,"background","auto",32,"DESCENT"
"scan106_2023-07-25_08H00M23S",2023,7,25,8,"background","manual",0,"DESCENT"
"scan106_2023-07-25_08H00M23S",2023,7,25,8,"julida","auto",2,"DESCENT"
"scan106_2023-07-25_08H00M23S",2023,7,25,8,"julida","manual",0,"DESCENT"
"scan106_2023-07-26_08H00M23S",2023,7,26,8,"background","auto",47,"DESCENT"
"scan106_2023-07-26_08H00M23S",2023,7,26,8,"background","manual",0,"DESCENT"
"scan106_2023-07-26_08H00M23S",2023,7,26,8,"julida","auto",1,"DESCENT"
"scan106_2023-07-26_08H00M23S",2023,7,26,8,"julida","manual",0,"DESCENT"
"scan106_2023-07-27_08H00M24S",2023,7,27,8,"background","auto",16,"DESCENT"
"scan106_2023-07-27_08H00M24S",2023,7,27,8,"background","manual",0,"DESCENT"
"scan106_2023-07-27_08H00M24S",2023,7,27,8,"collembola","auto",1,"DESCENT"
"scan106_2023-07-27_08H00M24S",2023,7,27,8,"collembola","manual",2,"DESCENT"
"scan106_2023-07-28_08H00M23S",2023,7,28,8,"background","auto",34,"DESCENT"
"scan106_2023-07-28_08H00M23S",2023,7,28,8,"background","manual",0,"DESCENT"
"scan106_2023-07-29_08H00M23S",2023,7,29,8,"background","auto",30,"DESCENT"
"scan106_2023-07-29_08H00M23S",2023,7,29,8,"background","manual",0,"DESCENT"
"scan106_2023-07-29_08H00M23S",2023,7,29,8,"unknown","auto",1,"DESCENT"
"scan106_2023-07-29_08H00M23S",2023,7,29,8,"unknown","manual",2,"DESCENT"
"scan106_2023-07-30_08H00M23S",2023,7,30,8,"background","auto",24,"DESCENT"
"scan106_2023-07-30_08H00M23S",2023,7,30,8,"background","manual",0,"DESCENT"
"scan106_2023-07-31_08H00M23S",2023,7,31,8,"acari","auto",1,"DESCENT"
"scan106_2023-07-31_08H00M23S",2023,7,31,8,"acari","manual",6,"DESCENT"
"scan106_2023-07-31_08H00M23S",2023,7,31,8,"background","auto",27,"DESCENT"
"scan106_2023-07-31_08H00M23S",2023,7,31,8,"background","manual",0,"DESCENT"
"scan106_2023-07-31_08H00M23S",2023,7,31,8,"julida","auto",1,"DESCENT"
"scan106_2023-07-31_08H00M23S",2023,7,31,8,"julida","manual",0,"DESCENT"
"scan106_2023-08-01_08H00M23S",2023,8,1,8,"background","auto",30,"DESCENT"
"scan106_2023-08-01_08H00M23S",2023,8,1,8,"background","manual",0,"DESCENT"
"scan106_2023-08-02_08H00M24S",2023,8,2,8,"background","auto",49,"DESCENT"
"scan106_2023-08-02_08H00M24S",2023,8,2,8,"background","manual",0,"DESCENT"
"scan106_2023-08-03_08H00M23S",2023,8,3,8,"background","auto",30,"DESCENT"
"scan106_2023-08-03_08H00M23S",2023,8,3,8,"background","manual",0,"DESCENT"
"scan106_2023-08-04_08H00M24S",2023,8,4,8,"background","auto",20,"DESCENT"
"scan106_2023-08-04_08H00M24S",2023,8,4,8,"background","manual",0,"DESCENT"
"scan106_2023-08-04_08H00M24S",2023,8,4,8,"multi_taxa","auto",1,"DESCENT"
"scan106_2023-08-04_08H00M24S",2023,8,4,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-08-05_08H00M24S",2023,8,5,8,"background","auto",17,"DESCENT"
"scan106_2023-08-05_08H00M24S",2023,8,5,8,"background","manual",0,"DESCENT"
"scan106_2023-08-05_08H00M24S",2023,8,5,8,"julida","auto",1,"DESCENT"
